2026-01-13 00:02:18,964 | WARNING | 00:02:18 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:19,340 | WARNING | 00:02:19 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:19,740 | WARNING | 00:02:19 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:20,220 | WARNING | 00:02:20 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:02:20,691 | WARNING | 00:02:20 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:02:21,138 | WARNING | 00:02:21 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:02:21,604 | WARNING | 00:02:21 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:02:22,103 | WARNING | 00:02:22 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:22,565 | WARNING | 00:02:22 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:02:22,985 | WARNING | 00:02:22 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:02:23,511 | WARNING | 00:02:23 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:02:23,953 | WARNING | 00:02:23 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:02:24,399 | WARNING | 00:02:24 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:24,832 | WARNING | 00:02:24 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:02:25,290 | WARNING | 00:02:25 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:25,827 | WARNING | 00:02:25 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:02:26,262 | WARNING | 00:02:26 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:26,799 | WARNING | 00:02:26 | CRITICAL | Sudden motion jump detected
2026-01-13 00:02:27,261 | WARNING | 00:02:27 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:02:27,765 | WARNING | 00:02:27 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:02:28,244 | WARNING | 00:02:28 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:02:28,764 | WARNING | 00:02:28 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:29,212 | WARNING | 00:02:29 | CRITICAL | Sudden motion jump detected
2026-01-13 00:02:29,636 | WARNING | 00:02:29 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:30,045 | WARNING | 00:02:30 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:30,428 | WARNING | 00:02:30 | HIGH RISK | Fast movement — possible pushing
